dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,[0.57912281 0.24438596],0.412 ± 0.167,0.4117543859649123,0.4117543859649123,0.1673684210526316,0.3280701754385965,0.4954385964912281,[0.66143002 0.36331743],0.512 ± 0.149,0.512373726200158,0.512373726200158,0.14905629591436206,0.437845578242977,0.5869018741573391,[0.05334696 0.04475824],0.049 ± 0.004,0.04905260059293651,0.04905260059293651,0.004294360166435047,0.046905420509718986,0.051199780676154036
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.35719298 0.32824561],0.343 ± 0.014,0.34271929824561403,0.34271929824561403,0.014473684210526305,0.3354824561403509,0.3499561403508772,[0.51856868 0.5179835 ],0.518 ± 0.000,0.5182760865211411,0.5182760865211411,0.0002925913567752292,0.5181297908427536,0.5184223821995287,[0.13643213 0.05996287],0.098 ± 0.038,0.09819749897351646,0.09819749897351646,0.03823463116708079,0.07908018338997605,0.11731481455705685
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.35263158 0.35263158],0.353 ± 0.000,0.3526315789473684,0.3526315789473684,0.0,0.3526315789473684,0.3526315789473684,[0.75899966 0.75899966],0.759 ± 0.000,0.7589996571971926,0.7589996571971926,0.0,0.7589996571971926,0.7589996571971926,[0.12556743 0.12556743],0.126 ± 0.000,0.1255674335736068,0.1255674335736068,0.0,0.1255674335736068,0.1255674335736068
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.38280702 0.32561404],0.354 ± 0.029,0.3542105263157895,0.3542105263157895,0.028596491228070176,0.3399122807017544,0.36850877192982456,[0.50116387 0.51367341],0.507 ± 0.006,0.5074186405679818,0.5074186405679818,0.006254767250014059,0.5042912569429747,0.5105460241929889,[0.03096082 0.07183301],0.051 ± 0.020,0.05139691528636776,0.05139691528636776,0.020436092736045845,0.04117886891834484,0.061614961654390676
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.35263158 0.35263158],0.353 ± 0.000,0.3526315789473684,0.3526315789473684,0.0,0.3526315789473684,0.3526315789473684,[0.62946774 0.67351939],0.651 ± 0.022,0.6514935678956939,0.6514935678956939,0.022025826348746003,0.640480654721321,0.6625064810700669,[0.10349568 0.11065213],0.107 ± 0.004,0.10707390521939107,0.10707390521939107,0.0035782214760637365,0.1052847944813592,0.10886301595742294
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,[0.12616822 0.11448598],0.120 ± 0.006,0.12032710280373833,0.12032710280373833,0.0058411214953271035,0.11740654205607479,0.12324766355140188,[0.25464563 0.22878179],0.242 ± 0.013,0.24171370879040535,0.24171370879040535,0.012931921608933444,0.23524774798593862,0.2481796695948721,[0.01335551 0.01510546],0.014 ± 0.001,0.0142304827058863,0.0142304827058863,0.0008749724557948939,0.013792996477988852,0.014667968933783746
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.15654206 0.17056075],0.164 ± 0.007,0.16355140186915887,0.16355140186915887,0.007009345794392524,0.1600467289719626,0.16705607476635514,[0.30780351 0.30913117],0.308 ± 0.001,0.308467338557728,0.308467338557728,0.000663827316987331,0.30813542489923434,0.3087992522162217,[0.03465348 0.02375296],0.029 ± 0.005,0.029203221867868258,0.029203221867868258,0.0054502590551680965,0.026478092340284212,0.03192835139545231
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.23598131 0.23598131],0.236 ± 0.000,0.23598130841121495,0.23598130841121495,0.0,0.23598130841121495,0.23598130841121495,[0.41692771 0.41692771],0.417 ± 0.000,0.416927708017669,0.416927708017669,0.0,0.416927708017669,0.416927708017669,[0.03632632 0.03632632],0.036 ± 0.000,0.03632631566015958,0.03632631566015958,0.0,0.03632631566015958,0.03632631566015958
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.15654206 0.17056075],0.164 ± 0.007,0.16355140186915887,0.16355140186915887,0.007009345794392524,0.1600467289719626,0.16705607476635514,[0.34073842 0.34745665],0.344 ± 0.003,0.34409753292839174,0.34409753292839174,0.0033591144634552705,0.3424179756966641,0.34577709016011937,[0.06687475 0.06724085],0.067 ± 0.000,0.06705779957533367,0.06705779957533367,0.00018304867626169757,0.06696627523720283,0.06714932391346452
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.23598131 0.23598131],0.236 ± 0.000,0.23598130841121495,0.23598130841121495,0.0,0.23598130841121495,0.23598130841121495,[0.40884559 0.41579368],0.412 ± 0.003,0.4123196323237289,0.4123196323237289,0.0034740440064352784,0.4105826103205113,0.4140566543269466,[0.01605296 0.03423523],0.025 ± 0.009,0.02514409523731006,0.02514409523731006,0.009091137936928735,0.02059852626884569,0.029689664205774426
banking77,16,1232,basic_banking77_0-shot_litgpt,0,lm_phi3,lora,affine_scalar_train_on_val,test,0.26556291390728476,0.266 ± 0.000,0.26556291390728476,0.26556291390728476,0.0,0.26556291390728476,0.26556291390728476,0.21034452097277775,0.210 ± 0.000,0.21034452097277775,0.21034452097277775,0.0,0.21034452097277775,0.21034452097277775,0.027085069924708525,0.027 ± 0.000,0.027085069924708525,0.027085069924708525,0.0,0.027085069924708525,0.027085069924708525
banking77,16,1232,basic_banking77_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,0.29900662251655624,0.299 ± 0.000,0.29900662251655624,0.29900662251655624,0.0,0.29900662251655624,0.29900662251655624,0.2437312099207077,0.244 ± 0.000,0.2437312099207077,0.2437312099207077,0.0,0.2437312099207077,0.2437312099207077,0.06055196699950853,0.061 ± 0.000,0.06055196699950853,0.06055196699950853,0.0,0.06055196699950853,0.06055196699950853
banking77,16,1232,basic_banking77_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,0.3496688741721854,0.350 ± 0.000,0.3496688741721854,0.3496688741721854,0.0,0.3496688741721854,0.3496688741721854,0.298981760157436,0.299 ± 0.000,0.298981760157436,0.298981760157436,0.0,0.298981760157436,0.298981760157436,0.01991580942004225,0.020 ± 0.000,0.01991580942004225,0.01991580942004225,0.0,0.01991580942004225,0.01991580942004225
banking77,16,1232,basic_banking77_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,0.7728476821192053,0.773 ± 0.000,0.7728476821192053,0.7728476821192053,0.0,0.7728476821192053,0.7728476821192053,1.3603720176755298,1.360 ± 0.000,1.3603720176755298,1.3603720176755298,0.0,1.3603720176755298,1.3603720176755298,0.40494166558282024,0.405 ± 0.000,0.40494166558282024,0.40494166558282024,0.0,0.40494166558282024,0.40494166558282024
banking77,16,1232,basic_banking77_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,0.35,0.350 ± 0.000,0.35,0.35,0.0,0.35,0.35,0.2993597237282034,0.299 ± 0.000,0.2993597237282034,0.2993597237282034,0.0,0.2993597237282034,0.2993597237282034,0.025374702082076428,0.025 ± 0.000,0.025374702082076428,0.025374702082076428,0.0,0.025374702082076428,0.025374702082076428
banking77,16,1232,basic_banking77_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,0.7728476821192053,0.773 ± 0.000,0.7728476821192053,0.7728476821192053,0.0,0.7728476821192053,0.7728476821192053,0.7872100478145773,0.787 ± 0.000,0.7872100478145773,0.7872100478145773,0.0,0.7872100478145773,0.7872100478145773,0.08315859103036712,0.083 ± 0.000,0.08315859103036712,0.08315859103036712,0.0,0.08315859103036712,0.08315859103036712
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,[0.14485981 0.11915888],0.132 ± 0.013,0.13200934579439255,0.13200934579439255,0.012850467289719628,0.12558411214953272,0.13843457943925236,[0.26693495 0.26262195],0.265 ± 0.002,0.26477845148945267,0.26477845148945267,0.0021565024836686375,0.26370020024761837,0.26585670273128703,[0.0175755  0.02524712],0.021 ± 0.004,0.02141130785757226,0.02141130785757226,0.0038358123074883777,0.01949340170382807,0.02332921401131645
